StyleCode,FrameConstruction,FrameShape,RXAble,Gender,SunOptical,Material1,Material2,USRetailPrice,USWholesalePrice
CK24521,Full Rim,Square,True,Female,Optical,Acetate,Acetate,195.00,97.50
CK24523,Full Rim,Round,True,Unisex,Optical,Acetate,Acetate,195.00,97.50
CK24524,Full Rim,Rectangle,True,Male,Optical,Acetate,Acetate,195.00,97.50
CK24526,Full Rim,Square,True,Unisex,Optical,Acetate,Acetate,195.00,97.50
CK5419A,Full Rim,Rectangle,True,Male,Optical,Metal,Metal,180.00,90.00
L2217,Full Rim,Oval,True,Female,Optical,Metal,Metal,210.00,105.00
L2271,Full Rim,Rectangle,True,Male,Optical,Metal,Metal,225.00,112.50
L2291,Full Rim,Rectangle,True,Male,Optical,Metal,Metal,230.00,115.00
L2292LB,Full Rim,Rectangle,True,Male,Optical,Metal,Metal,230.00,115.00
L2294,Full Rim,Round,True,Female,Optical,Metal,Metal,230.00,115.00
L2298,Full Rim,Square,True,Unisex,Optical,Metal,Metal,245.00,122.50
L2692,Full Rim,Rectangle,True,Male,Optical,Acetate,Acetate,220.00,110.00
L2707,Full Rim,Square,True,Unisex,Optical,Acetate,Acetate,199.95,99.98
L2707N,Full Rim,Square,True,Unisex,Optical,Acetate,Acetate,199.95,99.98
L2848,Full Rim,Rectangle,True,Male,Optical,Acetate,Acetate,220.00,110.00
L2876,Full Rim,Square,True,Unisex,Optical,Acetate,Acetate,220.00,110.00
L2886,Full Rim,Round,True,Female,Optical,Acetate,Acetate,205.00,102.50
L2894A,Full Rim,Square,True,Unisex,Optical,Acetate,Acetate,240.00,120.00
L2902LB,Full Rim,Rectangle,True,Male,Optical,Acetate,Acetate,285.00,142.50
L2903LB,Full Rim,Square,True,Unisex,Optical,Acetate,Acetate,285.00,142.50
L2916LB,Full Rim,Round,True,Female,Optical,Acetate,Acetate,285.00,142.50
L2930LB,Full Rim,Rectangle,True,Male,Optical,Acetate,Acetate,285.00,142.50
L2944,Full Rim,Square,True,Unisex,Optical,Acetate,Acetate,240.00,120.00
L2947,Full Rim,Rectangle,True,Male,Optical,Acetate,Acetate,240.00,120.00
L2950,Full Rim,Round,True,Female,Optical,Acetate,Acetate,240.00,120.00
L3632,Full Rim,Round,True,Unisex,Optical,BIO INJ-G820,BIO INJ-G820,140.00,70.00
L3647,Full Rim,Rectangle,True,Unisex,Optical,BIO INJ-G820,BIO INJ-G820,140.00,70.00
L3648,Full Rim,Square,True,Unisex,Optical,BIO INJ-G820,BIO INJ-G820,140.00,70.00
L3649,Full Rim,Round,True,Unisex,Optical,BIO INJ-G820,BIO INJ-G820,140.00,70.00
L3655,Full Rim,Rectangle,True,Unisex,Optical,BIO INJ-G820,BIO INJ-G820,140.00,70.00
L3660,Full Rim,Square,True,Unisex,Optical,BIO INJ-G820,BIO INJ-G820,140.00,70.00
L3804B,Full Rim,Rectangle,True,Male,Optical,Acetate,Acetate,160.00,80.00
L6008S,Full Rim,Aviator,True,Unisex,Sun,Metal,Metal,175.00,87.50
L6009S,Full Rim,Square,True,Male,Sun,Metal,Metal,175.00,87.50
L6010MAG-SET,Full Rim,Rectangle,True,Unisex,Optical,Metal,Metal,309.00,154.50
L6011S,Full Rim,Round,True,Female,Sun,Metal,Metal,175.00,87.50
L6018S,Full Rim,Rectangle,True,Male,Sun,Metal,Metal,175.00,87.50
L6021S,Full Rim,Square,True,Unisex,Sun,Metal,Metal,175.00,87.50
L6023S,Full Rim,Aviator,True,Unisex,Sun,Metal,Metal,175.00,87.50
L6026S,Full Rim,Round,True,Female,Sun,Metal,Metal,175.00,87.50
L6029S,Full Rim,Rectangle,True,Male,Sun,Metal,Metal,175.00,87.50
L6030S,Full Rim,Square,True,Unisex,Sun,Metal,Metal,175.00,87.50
L6032S,Full Rim,Round,True,Female,Sun,Metal,Metal,175.00,87.50
L6034S,Full Rim,Rectangle,True,Male,Sun,Metal,Metal,175.00,87.50
L6035S,Full Rim,Square,True,Unisex,Sun,Metal,Metal,175.00,87.50
L860SE,Full Rim,Round,True,Female,Sun,Acetate,Acetate,215.00,107.50
L881S,Full Rim,Cat Eye,True,Female,Sun,Acetate,Acetate,165.00,82.50
L882S,Full Rim,Square,True,Female,Sun,Acetate,Acetate,165.00,82.50
L915S,Full Rim,Rectangle,True,Male,Sun,BIO INJ-G820,BIO INJ-G820,150.00,75.00
L916S,Full Rim,Rectangle,True,Male,Sun,BIO INJ-G820,BIO INJ-G820,175.00,87.50
L995S,Full Rim,Rectangle,True,Male,Sun,Acetate,Acetate,185.00,92.50
NIKE 4307,Full Rim,Square,True,Unisex,Optical,BIO INJ-G820,BIO INJ-G820,135.00,67.50
NIKE 4313,Full Rim,Rectangle,True,Male,Optical,BIO INJ-G820,BIO INJ-G820,159.00,79.50
NIKE 4314,Full Rim,Square,True,Unisex,Optical,BIO INJ-G820,BIO INJ-G820,159.00,79.50
NIKE 4315,Full Rim,Round,True,Female,Optical,BIO INJ-G820,BIO INJ-G820,159.00,79.50
NIKE 4643,Full Rim,Rectangle,True,Male,Optical,BIO INJ-G820,BIO INJ-G820,159.00,79.50
NIKE 4644,Full Rim,Square,True,Unisex,Optical,BIO INJ-G820,BIO INJ-G820,159.00,79.50
NIKE 5019,Full Rim,Rectangle,True,Unisex,Optical,BIO INJ-G820,BIO INJ-G820,135.00,67.50
NIKE 5036,Full Rim,Rectangle,True,Unisex,Optical,BIO INJ-G820,BIO INJ-G820,135.00,67.50
NIKE 5037,Full Rim,Square,True,Unisex,Optical,BIO INJ-G820,BIO INJ-G820,135.00,67.50
NIKE 5038,Full Rim,Round,True,Unisex,Optical,BIO INJ-G820,BIO INJ-G820,135.00,67.50
NIKE 5048,Full Rim,Rectangle,True,Unisex,Optical,BIO INJ-G820,BIO INJ-G820,135.00,67.50
NIKE 5054,Full Rim,Rectangle,True,Unisex,Optical,BIO INJ-G820,BIO INJ-G820,135.00,67.50
NIKE 5055,Full Rim,Square,True,Unisex,Optical,BIO INJ-G820,BIO INJ-G820,135.00,67.50
NIKE 5056,Full Rim,Round,True,Unisex,Optical,BIO INJ-G820,BIO INJ-G820,135.00,67.50
NIKE 5057,Full Rim,Rectangle,True,Unisex,Optical,BIO INJ-G820,BIO INJ-G820,135.00,67.50
NIKE 5058,Full Rim,Square,True,Unisex,Optical,BIO INJ-G820,BIO INJ-G820,135.00,67.50
NIKE 5059,Full Rim,Round,True,Unisex,Optical,BIO INJ-G820,BIO INJ-G820,135.00,67.50
NIKE 5093AF,Full Rim,Square,True,Unisex,Optical,BIO INJ-G820,BIO INJ-G820,135.00,67.50
NIKE 5509,Full Rim,Rectangle,True,Male,Optical,Acetate,Acetate,135.00,67.50
NIKE 5538,Full Rim,Square,True,Unisex,Optical,BIO INJ-G820,BIO INJ-G820,135.00,67.50
NIKE 5544,Full Rim,Rectangle,True,Male,Optical,BIO INJ-G820,BIO INJ-G820,249.00,124.50
NIKE 6076AF,Full Rim,Rectangle,True,Male,Optical,Metal,Metal,210.00,105.00
NIKE 6079AF,Full Rim,Square,True,Male,Optical,Metal,Metal,210.00,105.00
NIKE 7014,Full Rim,Rectangle,True,Male,Optical,BIO INJ-G820,BIO INJ-G820,185.00,92.50
NIKE 7015,Full Rim,Square,True,Unisex,Optical,BIO INJ-G820,BIO INJ-G820,185.00,92.50
NIKE 7056,Full Rim,Rectangle,True,Male,Optical,BIO INJ-G820,BIO INJ-G820,185.00,92.50
NIKE 7057,Full Rim,Square,True,Unisex,Optical,BIO INJ-G820,BIO INJ-G820,185.00,92.50
NIKE 7059LB,Full Rim,Rectangle,True,Male,Optical,BIO INJ-G820,BIO INJ-G820,185.00,92.50
NIKE 7071,Semi-Rimless,Rectangle,True,Male,Optical,Metal,Metal,240.00,120.00
NIKE 7090,Full Rim,Square,True,Unisex,Optical,BIO INJ-G820,BIO INJ-G820,285.00,142.50
NIKE 7092,Full Rim,Rectangle,True,Unisex,Optical,BIO INJ-G820,BIO INJ-G820,249.00,124.50
NIKE 7116,Full Rim,Rectangle,True,Male,Optical,BIO INJ-G820,BIO INJ-G820,182.00,91.00
NIKE 7117,Full Rim,Square,True,Unisex,Optical,BIO INJ-G820,BIO INJ-G820,182.00,91.00
NIKE 7119,Full Rim,Rectangle,True,Male,Optical,BIO INJ-G820,BIO INJ-G820,182.00,91.00
NIKE 7125,Full Rim,Rectangle,True,Male,Optical,BIO INJ-G820,BIO INJ-G820,249.00,124.50
NIKE 7136AF,Full Rim,Rectangle,True,Male,Optical,BIO INJ-G820,BIO INJ-G820,182.00,91.00
NIKE 7137AF,Full Rim,Square,True,Unisex,Optical,BIO INJ-G820,BIO INJ-G820,182.00,91.00
NIKE 7140AF,Full Rim,Rectangle,True,Male,Optical,BIO INJ-G820,BIO INJ-G820,182.00,91.00
NIKE 7158,Full Rim,Rectangle,True,Male,Optical,BIO INJ-G820,BIO INJ-G820,182.00,91.00
NIKE 7160,Full Rim,Square,True,Unisex,Optical,BIO INJ-G820,BIO INJ-G820,295.00,147.50
NIKE 7160LB,Full Rim,Square,True,Unisex,Optical,BIO INJ-G820,BIO INJ-G820,295.00,147.50
NIKE 7162,Full Rim,Rectangle,True,Male,Optical,BIO INJ-G820,BIO INJ-G820,295.00,147.50
NIKE 7163LB,Full Rim,Rectangle,True,Male,Optical,BIO INJ-G820,BIO INJ-G820,295.00,147.50
NIKE 7164LB,Full Rim,Square,True,Unisex,Optical,BIO INJ-G820,BIO INJ-G820,295.00,147.50
NIKE 7165,Full Rim,Round,True,Unisex,Optical,BIO INJ-G820,BIO INJ-G820,295.00,147.50
NIKE 7165LB,Full Rim,Round,True,Unisex,Optical,BIO INJ-G820,BIO INJ-G820,295.00,147.50
NIKE 7170,Full Rim,Rectangle,True,Male,Optical,BIO INJ-G820,BIO INJ-G820,182.00,91.00
NIKE 7172,Full Rim,Square,True,Unisex,Optical,BIO INJ-G820,BIO INJ-G820,182.00,91.00
NIKE 7173,Full Rim,Round,True,Female,Optical,BIO INJ-G820,BIO INJ-G820,182.00,91.00
NIKE 7176,Full Rim,Rectangle,True,Male,Optical,BIO INJ-G820,BIO INJ-G820,182.00,91.00
NIKE 7240,Full Rim,Square,True,Female,Optical,Acetate,Acetate,259.00,129.50
NIKE 7246,Full Rim,Rectangle,True,Male,Optical,Acetate,Acetate,259.00,129.50
NIKE 7280,Full Rim,Round,True,Female,Optical,Acetate,Acetate,220.00,110.00
NIKE 7287,Full Rim,Square,True,Unisex,Optical,Acetate,Acetate,259.00,129.50
NIKE 7402,Full Rim,Rectangle,True,Male,Optical,Acetate,Acetate,259.00,129.50
NIKE 7928,Full Rim,Rectangle,True,Male,Optical,Metal,Metal,210.00,105.00
NIKE 8045,Full Rim,Rectangle,True,Male,Optical,Titanium,Titanium,295.00,147.50
NIKE 8054,Full Rim,Rectangle,True,Male,Optical,Titanium,Titanium,295.00,147.50
NIKE 8130,Full Rim,Rectangle,True,Male,Optical,Metal,Metal,210.00,105.00
NIKE 8136AF,Full Rim,Rectangle,True,Male,Optical,Metal,Metal,210.00,105.00
NIKE 8138,Full Rim,Rectangle,True,Male,Optical,Metal,Metal,295.00,147.50
NIKE 8154,Full Rim,Rectangle,True,Male,Optical,Titanium,Titanium,295.00,147.50
NIKE 8156,Full Rim,Square,True,Unisex,Optical,Titanium,Titanium,295.00,147.50
NIKE TRAINER E EV101,Full Rim,Wrap,True,Unisex,Sun,BIO INJ-G820,BIO INJ-G820,99.00,49.50
NIKE PREMIER EV1071,Full Rim,Square,True,Unisex,Sun,BIO INJ-G820,BIO INJ-G820,150.00,75.00
NIKE HYPERFORCE ELIT,Semi-Rimless,Wrap,True,Unisex,Sun,BIO INJ-G820,BIO INJ-G820,215.00,107.50
NIKE WINDSHIELD ELIT,Rimless,Wrap,True,Unisex,Sun,BIO INJ-G820,BIO INJ-G820,185.00,92.50
NIKE MAVERICK RGE M,Full Rim,Square,True,Unisex,Sun,BIO INJ-G820,BIO INJ-G820,175.00,87.50
NIKE CITY ICON DJ089,Full Rim,Cat Eye,True,Female,Sun,Acetate,Acetate,159.00,79.50
NIKE CITY ICON M DJ0,Full Rim,Cat Eye,True,Female,Sun,Acetate,Acetate,169.00,84.50
NIKE RABID 22 E DV21,Full Rim,Rectangle,True,Unisex,Sun,BIO INJ-G820,BIO INJ-G820,105.00,52.50
NIKE RABID 22 M DV21,Full Rim,Rectangle,True,Unisex,Sun,BIO INJ-G820,BIO INJ-G820,115.00,57.50
NIKE ADRENALINE 22 M,Full Rim,Rectangle,True,Male,Sun,BIO INJ-G820,BIO INJ-G820,115.00,57.50
NIKE RABID 22 DV2371,Full Rim,Rectangle,True,Unisex,Sun,BIO INJ-G820,BIO INJ-G820,105.00,52.50
NIKE ADRENALINE 22 D,Full Rim,Rectangle,True,Male,Sun,BIO INJ-G820,BIO INJ-G820,105.00,52.50
NIKE ADRENALINE 22 L,Full Rim,Rectangle,True,Male,Sun,BIO INJ-G820,BIO INJ-G820,105.00,52.50
NIKE MODERN METAL DZ,Full Rim,Round,True,Unisex,Sun,Metal,Metal,189.00,94.50
NIKE MODERN METAL P,Full Rim,Round,True,Unisex,Sun,Metal,Metal,229.00,114.50
NIKE SHOW X RUSH DZ7,Semi-Rimless,Wrap,True,Unisex,Sun,BIO INJ-G820,BIO INJ-G820,155.00,77.50
NIKE SHOW X RUSH E D,Semi-Rimless,Wrap,True,Unisex,Sun,BIO INJ-G820,BIO INJ-G820,155.00,77.50
NIKE SHOW X RUSH M D,Semi-Rimless,Wrap,True,Unisex,Sun,BIO INJ-G820,BIO INJ-G820,175.00,87.50
NIKE SMASH DZ7382,Full Rim,Square,True,Female,Sun,Acetate,Acetate,159.00,79.50
NIKE SMASH M DZ7383,Full Rim,Square,True,Female,Sun,Acetate,Acetate,169.00,84.50
NIKE FLYFREE SOAR EV,Full Rim,Square,True,Unisex,Sun,BIO INJ-G820,BIO INJ-G820,249.00,124.50
NIKE FLYFREE SOAR E,Full Rim,Square,True,Unisex,Sun,BIO INJ-G820,BIO INJ-G820,249.00,124.50
NIKE WINDTRACK RUN E,Full Rim,Wrap,True,Unisex,Sun,BIO INJ-G820,BIO INJ-G820,185.00,92.50
NIKE ACE DRIVER EV24,Full Rim,Aviator,True,Male,Sun,Metal,Metal,199.00,99.50
NIKE ACE DRIVER P EV,Full Rim,Aviator,True,Male,Sun,Metal,Metal,239.00,119.50
NIKE LIVEFREE CLASSI,Full Rim,Square,True,Unisex,Sun,BIO INJ-G820,BIO INJ-G820,149.00,74.50
NIKE LIVEFREE ICONIC,Full Rim,Round,True,Unisex,Sun,BIO INJ-G820,BIO INJ-G820,149.00,74.50
NIKE CRESCENT I EV24,Full Rim,Round,True,Female,Sun,Acetate,Acetate,159.00,79.50
NIKE CRESCENT II EV2,Full Rim,Square,True,Female,Sun,Acetate,Acetate,159.00,79.50
NIKE CRESCENT III EV,Full Rim,Cat Eye,True,Female,Sun,Acetate,Acetate,159.00,79.50
NIKE LYNK FD1806,Full Rim,Rectangle,True,Male,Sun,BIO INJ-G820,BIO INJ-G820,135.00,67.50
NIKE LYNK M FD1817,Full Rim,Rectangle,True,Male,Sun,BIO INJ-G820,BIO INJ-G820,155.00,77.50
NIKE FIRE P FD1818,Full Rim,Square,True,Unisex,Sun,BIO INJ-G820,BIO INJ-G820,185.00,92.50
NIKE FIRE L P FD1819,Full Rim,Square,True,Unisex,Sun,BIO INJ-G820,BIO INJ-G820,185.00,92.50
NIKE RAVE P FD1849,Full Rim,Square,True,Female,Sun,BIO INJ-G820,BIO INJ-G820,185.00,92.50
NIKE SWERVE P FD1850,Full Rim,Square,True,Female,Sun,BIO INJ-G820,BIO INJ-G820,185.00,92.50
NIKE MORPH LB FD1886,Full Rim,Rectangle,True,Male,Sun,BIO INJ-G820,BIO INJ-G820,135.00,67.50
NIKE MORPH LB M FD51,Full Rim,Rectangle,True,Male,Sun,BIO INJ-G820,BIO INJ-G820,155.00,77.50
NIKE BRAZEN BOOST FJ,Full Rim,Rectangle,True,Male,Sun,BIO INJ-G820,BIO INJ-G820,145.00,72.50
NIKE BRAZEN BOOST M,Full Rim,Rectangle,True,Male,Sun,BIO INJ-G820,BIO INJ-G820,165.00,82.50
NIKE BRAZEN SHADOW F,Full Rim,Rectangle,True,Male,Sun,BIO INJ-G820,BIO INJ-G820,145.00,72.50
NIKE BRAZEN SHADOW M,Full Rim,Rectangle,True,Male,Sun,BIO INJ-G820,BIO INJ-G820,165.00,82.50
NIKE VALIANT FJ1996,Full Rim,Square,True,Unisex,Sun,BIO INJ-G820,BIO INJ-G820,125.00,62.50
NIKE VALIANT M FJ199,Full Rim,Square,True,Unisex,Sun,BIO INJ-G820,BIO INJ-G820,145.00,72.50
NIKE ENDURE FJ2185,Full Rim,Rectangle,True,Male,Sun,BIO INJ-G820,BIO INJ-G820,135.00,67.50
NIKE ENDURE M FJ2198,Full Rim,Rectangle,True,Male,Sun,BIO INJ-G820,BIO INJ-G820,155.00,77.50
NIKE ENDURE P FJ2215,Full Rim,Rectangle,True,Male,Sun,BIO INJ-G820,BIO INJ-G820,185.00,92.50
NIKE BRAZEN FURY  FJ,Full Rim,Rectangle,True,Male,Sun,BIO INJ-G820,BIO INJ-G820,145.00,72.50
NIKE BRAZEN FURY M F,Full Rim,Rectangle,True,Male,Sun,BIO INJ-G820,BIO INJ-G820,165.00,82.50
NIKE BRAZEN FURY E F,Full Rim,Rectangle,True,Male,Sun,BIO INJ-G820,BIO INJ-G820,145.00,72.50
NIKE RADEON 3 LB FV2,Full Rim,Rectangle,True,Male,Sun,BIO INJ-G820,BIO INJ-G820,149.00,74.50
NIKE RADEON 3 LB P F,Full Rim,Rectangle,True,Male,Sun,BIO INJ-G820,BIO INJ-G820,189.00,94.50
NIKE METAL FUSION FV,Full Rim,Square,True,Unisex,Sun,Metal,Metal,199.00,99.50
NIKE METAL FUSION M,Full Rim,Square,True,Unisex,Sun,Metal,Metal,219.00,109.50
NIKE FLYFREE M FV239,Full Rim,Square,True,Unisex,Sun,BIO INJ-G820,BIO INJ-G820,269.00,134.50
NIKE RADEON 1 FV2402,Full Rim,Rectangle,True,Male,Sun,BIO INJ-G820,BIO INJ-G820,125.00,62.50
NIKE RADEON 1 M FV24,Full Rim,Rectangle,True,Male,Sun,BIO INJ-G820,BIO INJ-G820,145.00,72.50
NIKE RADEON 1 P FV24,Full Rim,Rectangle,True,Male,Sun,BIO INJ-G820,BIO INJ-G820,175.00,87.50
NIKE EMBAR P FV2409,Full Rim,Square,True,Unisex,Sun,BIO INJ-G820,BIO INJ-G820,185.00,92.50
NIKE MAVERICK E N IB,Full Rim,Square,True,Unisex,Sun,BIO INJ-G820,BIO INJ-G820,165.00,82.50
NIKE MAVERICK N IB69,Full Rim,Square,True,Unisex,Sun,BIO INJ-G820,BIO INJ-G820,165.00,82.50
NIKE RX CLIP II SHOW,N/A,Clip,True,Unisex,Sun,Metal,N/A,45.00,22.50
NIKE RX CLIP III VIC,N/A,Clip,True,Unisex,Sun,Metal,N/A,45.00,22.50
NIKE RX CLIP IV SHOW,N/A,Clip,True,Unisex,Sun,Metal,N/A,45.00,22.50
